id,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,"What is your birth day (e.g. October 28, report ""28"" without quotation marks)?","What is your birth month (e.g. for October 28, report ""10"" without quotation marks)?",What is your home country?,What is your home state/province/etc?,What is your home city?,What is your highest education level?
1,No,Yes,a knife ,Let's get'er done ,Friday,Lark ( I am a morning person),Stuffed grape leaves,Sparkling water,Fall,September,Hiking,MPH only,Epidemiology/Biostatistics,R,4,4,4-6 months,Deepen my analysis skills,Prevention ,3,16,1,Israel,,Jerusalem,Bachelor's degree
2,Yes,Yes,Food,"Shoot for the moon. Even if you miss, you'll land among the stars.",Saturday,Owl (I am a night person),Sandwiches,Coffee,Fall,October,Reading,MPH only,Generalist,SPSS,3,2,4-6 months,"More experience with coding, the ability to analyze complex data sets, ideas on how to implement what we learn from data sets",Women's mental health,7,27,10,U.S.A,Missouri,St. Louis,Bachelor's degree
3,Yes,Yes,A raft,Let it be done to me according to thy word,Sunday,Hummingbird (I am neither a lark nor an owl),Street tacos from San Antonio or south,Coffee,Fall,October,Hiking,MPH only,Epidemiology/Biostatistics,R,4,4,9 months to 1 year,"I hope to improve my R skills, improve at data management and learn new methods for analyzing data. ","Chronic disease prevention, end of life care, elder care",12,29,10,United States,Missouri,St. Louis,Master's degree
4,Yes,Yes,Bible,There are far better things ahead than any we leave behind.,Wednesday,Lark ( I am a morning person),Bank and Okra Stew,NA,Fall,May,Playing drums and volley ball,MPH only,Epidemiology/Biostatistics,R,3,3,4-6 months,"Improve my understanding and skills in statistical coding.
Strengthen my advanced data analysis skills.
Advance my ability to interpret and communicate results from complex data analyses. ","maternal health, perinatal mental health, pregnancy-related outcomes, and health disparities.",9,9,May,Ghana,Eastern,Kwahu,Bachelor's degree
5,Yes,Yes,Bible,"Stay humble, serve with purpose, and keep moving forward.",Thursday,Hummingbird (I am neither a lark nor an owl),Beef stew,Coke,Spring,September,Listening to music (Pop),MPH only,Epidemiology/Biostatistics,SPSS,3,3,>1 to 2 years,"General Linear Models, Survival analysis & R coding",Autoimmune & rheumatologic diseases,4,22,11,Ethiopia,Oromia,Deder,Bachelor's degree
6,Ambivalent,Yes,GPS,"Now faith is the assurance of things hoped for, the conviction of things not seen",Friday,Owl (I am a night person),Doro wot,Water ,Spring,October,Running ,MPH only,Epidemiology/Biostatistics,R,4,3,7-9 months,Coding ,Geriatrics ,11,7,10,Ethiopia ,Hawasa,Hawasa,Master's degree
7,No,Yes,My phone,Today is the beginning of the rest of your life,Saturday,Lark ( I am a morning person),Lasagna,Milk,Spring,November,Listening to music,MPH only,Epidemiology/Biostatistics,R,4,4,4-6 months,"Understanding advanced data analysis skills, understanding various methodological aspects, and proficiency in R coding",Data-driven decision-making and health policy,10,27,March,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
8,No,Ambivalent,food,life goes on,Friday,Hummingbird (I am neither a lark nor an owl),fufu,water,Fall,October,basketball,MPH only,Epidemiology/Biostatistics,R,3,2,4-6 months,"R/coding,  more data analysis tools, connect the dots in biostats/data modeling",non-communicable diseases,7,11,10,Ghana,Ashanti region,Kumasi,Bachelor's degree
9,No,No,water,Mind my business,Saturday,Lark ( I am a morning person),Rice,coke,Summer,January,watching soccer,MPH only,Epidemiology/Biostatistics,Excel,2,2,0-3 months,Apply knowlegde,,,,,Ghana,,Accra,Master's degree
10,Ambivalent,Yes,Water,Never give up!,Friday,Lark ( I am a morning person),Rice with tomato sauce and chicken,Coke,Spring,November,Making friends,MPH only,Epidemiology/Biostatistics,Excel,3,2,4-6 months,Improve my data analysis prowess,"Maternal and child health, Health insurance, Cancer epidemiology",7,30-Nov,November,Ghana,Ghana,Accra,Doctoral degree
11,Yes,Yes,My phone,"If you don't make a decision, a decision will be made for you.",Friday,Hummingbird (I am neither a lark nor an owl),Dark chocolate,Iced latte,Fall,June,Knitting,MPH only,Epidemiology/Biostatistics,SPSS,2,4,>2 years,"1. Data analysis techniques in R
2. Data visualization
3. Poisson regression",Psychiatric epidemiology,7,30,6,United States,Missouri,Chesterfield,Bachelor's degree
12,Ambivalent,Ambivalent,Map/Navigation tools,"""It's not about whether I can or not. I'm gonna do it because I want to""",Saturday,Hummingbird (I am neither a lark nor an owl),Biryani,Rose Milk ,Winter,January,Playing online games,MPH only,Epidemiology/Biostatistics,SPSS,3,3,4-6 months,"1. Code better in R,
2. Ability to choose the best method/model, 
3. To utilize the data more efficiently ",Cancer and Non-communicable diseases.,3,3,1,India,Tamil Nadu,Cuddalore,Bachelor's degree
13,Yes,Yes,Plane,Everything happens for good.,Thursday,Owl (I am a night person),Lasagna,Water,Fall,August,People-watching,MPH only,Epidemiology/Biostatistics,SPSS,3,3,0-3 months,"Coding, selecting appropriate analytical approach for research questions, and effective data interpretation.",Heart disease,6,2,8,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
14,Yes,Yes,Flint/matches (something to make fire),Find balance in the chaos,Saturday,Owl (I am a night person),Pasta and chocolate,Coffee,Fall,October,Coaching and baking,MPH only,Epidemiology/Biostatistics,R,4,3,7-9 months,"Appropriate ways to manage missing data, how to deal with ""select-all-that apply"" or complicated data ",Pediatrics: pediatric oncology and pediatric neurology; disparities in treatment access,24,21,10,United States,Missouri,St. Louis,Bachelor's degree
15,Yes,Yes,An MP3 player ( solar powered),“Uniqueness over perfection.”,Friday,Hummingbird (I am neither a lark nor an owl),Seafood,Matcha drinks,Fall,October,Photography,MPH only,Epidemiology/Biostatistics,SPSS,3,3,4-6 months,"1. Develop statistical thinking to analyze real world case studies.
2. Learn and master statistical analysis skills.
3. Develop the ability to conduct a research project independently.",cancer,2,23,5,China,Anhui,Lu'an,Bachelor's degree
16,Ambivalent,Yes,Water filter,See the good,Friday,Owl (I am a night person),Nachos or Quesadillas,Strawberry Lemonade,Fall,October,Binge watching shows,MPH only,Epidemiology/Biostatistics,SPSS,2,2,4-6 months,How to analyze data better (conclude better) and how to determine the best steps when working with different types of data (determine the best analysis to do),health disparities; infection prevention; SDOH,1,1,10,United States,Georgia,Kennesaw,Bachelor's degree
17,Yes,Yes,knife,"I'm not here for a long time, I'm here for a good time",Saturday,Owl (I am a night person),Sushi,Water,Fall,September,Crochet,MPH only,Epidemiology/Biostatistics,R,3,3,>1 to 2 years,Further proficiency with coding,Gerontology ,7,14,10,USA,Washington,Seattle,Bachelor's degree
18,Yes,Yes,Water,"The best time to get it done was yesterday, the second best time is now.",Wednesday,Lark ( I am a morning person),Waffles,lemonade,Spring,November,Reading fiction,MPH only,Epidemiology/Biostatistics,R,3,3,0-3 months,1. A few more advanced analytic techniques 2. Experience in handling and analysing large datasets 3. Ability to select the appropriate technique for a projects needs,"Health equity, nutrition ",23,12,11,Ghana,Ashanti Region,Kumasi,Bachelor's degree
19,No,Yes,A lighter,"Nothing is as big or scary until it's done, overcome, or done",Thursday,Hummingbird (I am neither a lark nor an owl),Yam,Anything Soda,Summer,March,Swimming,MPH only,Epidemiology/Biostatistics,SPSS,2,3,0-3 months,to get better at R and improve my analytical skills,"Infectious diseases, systems dynamics",8,21,3,Ghana,Greater Accra,Accra,Master's degree
20,No,No,Candies ,One day at a time ,Sunday,Hummingbird (I am neither a lark nor an owl),Rice,Smoothie ,Winter,November,Singing,MPH only,Epidemiology/Biostatistics,SPSS,2,1,0-3 months,"Coding, R",Maternal and Child Health ,6,25,11,Cameroon ,Northwest ,Bamenda ,Doctoral degree
21,No,Yes,The Bible,Never give up believing in God.,Tuesday,Lark ( I am a morning person),Kitfo(local meat preparation),Soda,Fall,June,Soccer(playing and watching),MPH only,Epidemiology/Biostatistics,SPSS,2,1,0-3 months,"Coding R, bulding up my skills in data analysis ",Heart disease ,12,4,6,Ethiopia ,Addis Ababa,Addis Ababa,Bachelor's degree
22,Ambivalent,Yes,Food,"This too shall pass (I know I did not create it, but I resonate with it)",Thursday,Owl (I am a night person),a good bowl of refreshing salad,sparkling water,Spring,February,Walking around somewhere green,MPH only,Epidemiology/Biostatistics,R,4,3,7-9 months,Growing in my skill of navigating and analyzing different data sets relevant to my research ,Healthy aging ,2,19,February ,Ethiopia ,Addis Ababa,Addis Ababa,Bachelor's degree
23,Yes,Yes,water or a brita pitcher ,what’s meant for you will never miss you,Friday,Hummingbird (I am neither a lark nor an owl),burgers,iced matcha,Fall,June,taking pictures,MPH only,Epidemiology/Biostatistics,R,3,3,7-9 months,"to be more comfortable with coding, how to decide what process of analysis through coding software is best, how to apply what i’ve learned in class in the real world ",disparities ,16,16,6,united states of america,missouri,o’fallon,Bachelor's degree
24,Yes,Ambivalent,My cat,"The world is not black or white, but a delicious shade of gray.",Saturday,Owl (I am a night person),Steak,Water,Fall,June,Soccer,MPH only,Epidemiology/Biostatistics,R,2,3,4-6 months,"I hope to learn how to select and apply the most appropriate statistical methods for different types of public health data.
I hope to strengthen my R skills, particularly in data analysis, visualization, and interpreting results.
I hope to learn how to conduct a complete, reproducible research project.",diabetes,10,31,8,China,Canton,Guangzhou,Master's degree
25,Yes,Yes,Book,,Saturday,Owl (I am a night person),Pizza,Coffee,Winter,November,Reading,Non-degree seeking,,R,2,2,>1 to 2 years,,Maternal nutrition,2,15,2,US,Connecticut,Weston,Master's degree
26,Ambivalent,No,Food,Every thing happens for a reason ,Thursday,Lark ( I am a morning person),Rice,Apple Juice,Summer,November,Swimming,MPH only,Epidemiology/Biostatistics,SPSS,1,1,0-3 months,Data Analysis and R ,"cancer, disparities",8,26,11,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
27,No,Yes,Water bottle,Bite off more than you can chew,Thursday,Owl (I am a night person),Steak,Water,Fall,September,Tennis,MPH only,Epidemiology/Biostatistics,R,3,3,4-6 months,"Building and interpreting multivariable models independently, analyze complex data sets and integrate and diagnose multivariable relationships, improve R coding to run the analysis present the results clearly",Cancer and cardiovascular epidemiology ,9,22,9,Ethiopia,Addis Ababa,Addis Ababa,MD
28,Yes,Yes,Food,"Work hard, play hard ",Saturday,Hummingbird (I am neither a lark nor an owl),Frozen Yogurt ,Diet Coke,Spring,May,Reading,MPH only,Epidemiology/Biostatistics,SPSS,2,1,0-3 months,Coding ,Disparities ,7,7,10,USA,Louisiana ,New Orleans ,Bachelor's degree
29,Yes,Yes,a blade ,,Saturday,Hummingbird (I am neither a lark nor an owl),kitfo,Diet coke,Fall,February,Journaling ,MPH only,Epidemiology/Biostatistics,But only because its been the default for most of the previous classesi have taken,1,1,0-3 months,I hope to become a better coder and a bit more R savy to the level that i am comofrtable(or semi-comfortable) in conducting data analysis entirely in R without (with minimal) help. ,Recently i have been interested in GLP-1 RA related research. I have been interested in exploring how these drugs reshape what we know so far about metabolic disease and cancer as well as some pshyciatric phenomenon like eating disorders and mood disorders. ,0.05,12,2,Ethiopia ,Addis Ababa,Addis Ababa,im not sure if its a doctoral degree but i have an MD
30,Yes,Yes,water,"Wish, pray and trust the process",Saturday,Hummingbird (I am neither a lark nor an owl),Chicken stew,Fnta,Fall,November,Walking,MPH only,Epidemiology/Biostatistics,SPSS,3,2,0-3 months,Coding and more advanced analysis,Disparities,4,29-Nov,11,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
31,Yes,No,a boat,Keep fighting and never give up.,Saturday,Hummingbird (I am neither a lark nor an owl),Fufu with light soup and goat meat,pineapple juice  ,Winter,December,soccer,MPH only,Epidemiology/Biostatistics,R,4,4,4-6 months,"better my coding, Analysis and Data interpretations ",Maternal and child health ,8,7,4,Ghana,Ashanti Region,Kumasi,Bachelor's degree
